ngram,next_word
your,"['account', 'choice', 'device', 'changes', 'screen', 'horses', 'form']"
tap,['the']
add,"['to', 'a', 'button', 'contact', 'item']"
item,"['as', 'button']"
new,"['contact', 'entry']"
entry,['in']
proceed,"['with', 'button']"
search,"['for', 'button']"
find,['relevant']
relevant,['results']
hit,['the']
send,"['feedback', 'to']"
transmit,['the']
push,['the']
play,"['game', 'the', 'button']"
start,"['the', 'following']"
touch,['the']
menu,['button']
access,"['additional', 'the']"
additional,"['options', 'content']"
activate,['the']
delete,"['the', 'option', 'button', 'highlighted', 'its']"
remove,"['a', 'the', 'focused', 'data']"
execute,['the']
purchase,['the']
apply,['the']
changes,['by']
by,"['selecting', 'pressing', 'clicking', 'activating', 'tapping', 'hitting', 'for']"
clicking,['the']
update,['button']
move,"['the', 'to', 'for', 'forward']"
forward,['by']
pressing,"['the', 'save']"
view,"['details', 'wwwurlcom']"
details,['button']
learn,['more']
invoke,['the']
load,['more']
more,['button']
display,['additional']
fire,['the']
reset,['button']
restore,['default']
default,['settings']
choice,"['by', 'to']"
selecting,"['the', 'share']"
accept,['button']
strike,['the']
escape,['button']
exit,['the']
fullscreen,['mode']
sort,['to']
arrange,['items']
items,['alphabetically']
next,"['page', 'input', 'button']"
form,"['submit', 'by', 'type', 'with']"
hitting,['button']
options,"['with', 'by']"
bring,['up']
up,"['the', 'key', 'in', 'button']"
help,['window']
window,['by']
tapping,"['the', 'close']"
question,['mark']
mark,"['the', 'as', 'button']"
enable,['the']
dark,['mode']
mode,['by']
moon,['button']
step,['click']
mute,['button']
turn,['off']
off,['the']
set,"['a', 'the']"
volume,"['by', 'slider']"
slider,['button']
lock,"['your', 'button']"
screen,['by']
activating,"['the', 'directions']"
unsubscribe,['by']
launch,['the']
app,['by']
open,"['the', 'this', 'button', 'wwwurlcom', 'httpswwwcoformatiquecom']"
for,"['two', 'the', 'seven', '7', '2', 'ten', 'five', '200', 'me', '5', 'six', '10', 'one', 'httpswwwcoformatiquecom', 'nine', 'eight', '1000', '9', '8', '6', '05', 'our', 'four', 'a', 'httpswwwfacebookcom', 'just', 'three']"
clear,"['the', 'text', 'focused', 'button', 'its']"
highlight,"['text', 'button']"
share,"['content', 'screen', 'button']"
content,['by']
get,['directions']
directions,['by']
draft,"['by', 'feature']"
schedule,"['an', 'button']"
appointment,['by']
close,"['a', 'the', 'button']"
contact,"['form', 'button']"
sign,"['in', 'up', 'on', 'out']"
account,['click']
remind,['me']
feature,['to']
file,['from']
from,"['a', 'your', 'clipboard']"
device,['by']
decline,['choice']
reject,['the']
date,['picker']
picker,['option']
choose,"['the', 'a']"
power,['button']
game,"['option', 'choose']"
expand,"['the', 'feature']"
collapse,"['the', 'option']"
print,"['the', 'feature']"
comment,['feature']
log,['out']
out,"['of', 'option']"
follow,['feature']
unfollow,['option']
stop,['following']
simply,['tap']
actions,['sheet']
sheet,['to']
cahnge,['the']
current,['sheet']
feedback,['option']
read,['feature']
unread,['option']
says,"['submit', 'begin', 'download']"
just,"['3', 'hit']"
look,['for']
download,['and']
and,"['2', 'panana', '454', 'click']"
it,"['that', 'to']"
bottom,['right']
right,"['key', 'in', 'corner']"
corner,['with']
plus,['sign']
user1,['option']
apples,"['and', 'option']"
index,"['0', '7']"
data,"['to', 'in', 'apples', '444', 'which']"
444,['and']
0,['and']
homer,['simpson']
football,['world']
male,['from']
gender,"['dropdown', 'form']"
highlighted,['input']
go,['to']
which,['is']
birthdate,['field']
into,"['the', 'name', 'an']"
yousif,['ahmed']
ahmed,['into']
write,"['female', 'how', 'yousifgmailcom']"
fruit,['form']
199912,['in']
month,['field']
cantaloupe,['in']
female,['in']
how,['are']
are,['you']
messgae,['field']
emailexamplecom,['into']
tab,['key']
key,['to']
ctrlc,['to']
copy,['selected']
selected,['text']
ctrlv,['to']
paste,['text']
enter,['key']
user,['form']
esc,['key']
modal,['dialog']
arrow,"['right', 'up', 'down']"
down,"['key', 'in']"
navigate,"['up', 'down']"
cursor,['right']
visit,"['the', 'wwwgooglecom', 'for', 'our', 'httpswwwcoformatiquecom']"
website,"['httpswwwgooglecom', 'with', 'wwwurlcom', 'httpswwwfacebookcom', 'httpswwwcoformatiquecom']"
browse,['to']
i,['want']
want,['to']
wwwurlcom,['in']
at,"['the', 'httpswwwcoformatiquecom']"
this,"['url', 'link']"
our,"['web', 'website']"
web,['application']
application,['at']
httpswwwcoformatiquecom,"['to', 'at']"
home,['page']
begin,['the']
above,['data']
admin,['form']
survey,['form']
after,['filling']
filling,['the']
support,['ticket']
ticket,['form']
hold,"['for', 'your', 'on']"
wait,"['for', 'in', 'patiently']"
patiently,['for']
two,['seconds']
delay,"['for', 'a']"
couple,['of']
take,['a']
quick,['break']
break,['for']
ten,"['milliseconds', 'seconds']"
pause,"['for', 'briefly']"
10,"['pixels', 'seconds']"
hang,"['tight', 'on']"
one,['second']
1000,['millisecond']
stay,"['calm', 'on', 'put']"
put,['for']
dont,"['move', 'do']"
six,['seconds']
calm,['for']
seven,['seconds']
silence,['for']
keep,"['quiet', 'still']"
quiet,['for']
four,['seconds']
sit,['tight']
tight,['for']
three,['seconds']
do,['anything']
anything,['for']
five,['seconds']
still,['for']
nine,['seconds']
breather,['delay']
7,['seconds']
remain,['motionless']
motionless,['waiting']
waiting,['for']
6,['seconds']
stand,['by']
9,['seconds']
horses,['for']
briefly,['for']
short,['break']
5,['seconds']
3,['seconds']
rest,['for']
eight,['seconds']
8,['seconds']
sleep,['for']
05,['seconds']
200,['milliseconds']
change,['the']
mouse,['to']
hove,['over']
over,['the']
try,['to']
hover,['over']
bold,['font']
font,['weight']
checkbox,['is']
cat,['image']
image,['is']
fields,['have']
no,"['borders', 'text', 'list']"
every,['link']
all,"['navbar', 'paragraphs']"
paragraphs,['should']
black,['color']
links,['have']
grey,['color']
create,['button']
blue,['background']
white,['text']
centered,['text']
todos,['list']
list,"['should', 'style']"
margin,['of']
0,[]
